"AccountId","Amount","CloseDate","Id","Program__r.Name"
"001o0000010yUokAAE","50.0","2017-08-10","0061J00000QG3gxQAD","Athlete"
"001o0000010ymcMAAQ","2000.0","2017-08-30","0061J00000QG8RIQA1","Athlete"
"001o0000010yYMnAAM","100.0","2017-08-24","0061J00000QG989QAD","Athlete"
"001o0000010yYMnAAM","100.0","2017-05-24","0061J00000QJ9nWQAT","Athlete"
"001o0000010yGRrAAM","1000.0","2017-05-31","0061J00000QJExVQAX","Athlete"
"001o0000010ymcMAAQ","1000.0","2017-06-02","0061J00000QJIiQQAX","Athlete"
"001o0000010yn6gAAA","25000.0","2017-06-02","0061J00000QJIkFQAX","Athlete"
"001o0000010b0KhAAI","48.0","2017-06-06","0061J00000QJQzrQAH","Athlete"
"001o0000010z4ylAAA","49.0","2017-06-06","0061J00000QJR10QAH","Athlete"
"001o0000010axRhAAI","24.0","2017-06-10","0061J00000QJRKeQAP","Athlete"
"001o0000010yUokAAE","50.0","2017-06-10","0061J00000QJSGJQA5","Athlete"
"0011J00001Ap5pmQAB","30.0","2017-06-13","0061J00000QJrf8QAD","Athlete"
"001o0000010y7BIAAY","500.0","2017-06-13","0061J00000QJrrxQAD","Athlete"
"001o0000010yGRrAAM","1000.0","2017-06-28","0061J00000QJxuTQAT","Athlete"
"001o0000010yYMnAAM","100.0","2017-06-24","0061J00000QJzoZQAT","Athlete"
"001o0000010ymcMAAQ","1000.0","2017-06-29","0061J00000QK5U3QAL","Athlete"
"001o0000010yn6gAAA","50000.0","2017-07-03","0061J00000QK5VSQA1","Athlete"
"001o0000010b0KhAAI","48.0","2017-07-06","0061J00000QKK7dQAH","Athlete"
"001o0000010z4ylAAA","49.0","2017-07-06","0061J00000QKK8lQAH","Athlete"
"001o0000010y7BIAAY","500.0","2017-07-13","0061J00000QKQPRQA5","Athlete"
"001o0000010axRhAAI","24.0","2017-07-10","0061J00000QKQW7QAP","Athlete"
"0011J00001Ap5pmQAB","30.0","2017-07-13","0061J00000QKQaaQAH","Athlete"
"001o0000010yUokAAE","50.0","2017-07-10","0061J00000QKR0wQAH","Athlete"
"001o0000010yGRrAAM","1000.0","2017-07-26","0061J00000QKdGsQAL","Athlete"
"001o0000010yYMnAAM","100.0","2017-07-24","0061J00000QKi5UQAT","Athlete"
"001o0000010b0KhAAI","48.0","2017-08-06","0061J00000QKokdQAD","Athlete"
"001o0000010z4ylAAA","49.0","2017-08-06","0061J00000QKoljQAD","Athlete"
"001o0000010axRhAAI","24.0","2017-08-10","0061J00000QKvV0QAL","Athlete"
"001o0000010y7BIAAY","500.0","2017-08-13","0061J00000QKvdfQAD","Athlete"
"0011J00001Ap5pmQAB","30.0","2017-08-13","0061J00000QKvw4QAD","Athlete"
"001o0000010zD50AAE","12500.0","2017-08-17","0061J00000QKypKQAT","Athlete"
"001o0000010axRhAAI","24.0","2017-09-10","0061J00000R3yVdQAJ","Athlete"
"001o0000010z4ylAAA","49.0","2017-09-06","0061J00000R3yayQAB","Athlete"
"001o0000010b0KhAAI","48.0","2017-09-06","0061J00000R3yf4QAB","Athlete"
"001o0000010y7BIAAY","500.0","2017-09-13","0061J00000R4CPyQAN","Athlete"
"0011J00001Ap5pmQAB","30.0","2017-09-13","0061J00000R4CZwQAN","Athlete"
"001o0000010yUokAAE","50.0","2017-09-10","0061J00000R4E1WQAV","Athlete"
"001o0000010yYMnAAM","100.0","2017-09-24","0061J00000R4MEtQAN","Athlete"
